incident_name,company,date,type,how,what_exposed,accessibility,severity,urls,cve
Meta AI Authorization Bypass,Meta,2025-01-12,api_vulnerability,misconfigured_api_gateway,"Internal AI research interfaces, prototype conversational agents, model fine-tuning dashboards",patched,medium,,
Shai-Hulud npm Worm v1,npm ecosystem (AI/ML packages),2025-09-15,supply_chain,maintainer_account_takeover,"Developer credentials, CI/CD pipeline access, ~500+ compromised npm packages",taken_down,critical,https://unit42.paloaltonetworks.com/npm-supply-chain-attack/; https://www.cisa.gov/news-events/alerts/2025/09/23/widespread-supply-chain-compromise-impacting-npm-ecosystem; https://www.sysdig.com/blog/shai-hulud-the-novel-self-replicating-worm-infecting-hundreds-of-npm-packages/; https://www.stepsecurity.io/blog/ctrl-tinycolor-and-40-npm-packages-compromised; https://www.keysight.com/blogs/en/tech/nwvs/2025/09/23/shai-hulud-the-npm-worm-that-exposes-the-fragility-of-the-software-supply-chain; https://www.blackduck.com/blog/npm-malware-attack-shai-hulud-threat.html,
OpenAI Mixpanel Vendor Breach,OpenAI,2025-11-09,user_data,third_party_vendor_breach,"Names, email addresses, user identifiers, approximate locations, device/browser details",taken_down,medium,https://9to5mac.com/2025/11/27/psa-openai-is-notifying-all-users-of-a-data-breach-but-you-probably-arent-affected/; https://www.euronews.com/next/2025/11/27/openai-confirms-chatgpt-data-breach-here-is-everything-we-know; https://openai.com/index/mixpanel-incident/,
PRC Cyber Operation Using Claude-Based Tools,Anthropic (tools misused),2025-11-13,state_sponsored_misuse,ai_assisted_autonomous_operations,U.S. systems compromised via Claude-based AI tools by Chinese state-sponsored actors,live,critical,https://homeland.house.gov/2025/11/26/homeland-republicans-request-anthropic-google-quantum-xchange-testimony-following-report-of-ai-assisted-partially-autonomous-prc-cyber-operation/; https://cybernews.com/ai-news/china-spies-ai-attack/,
Shai-Hulud npm Worm v2.0,npm ecosystem,2025-11-03,supply_chain,typosquatting_automated_replication,25K+ repositories with automated propagation,taken_down,critical,https://securitylabs.datadoghq.com/articles/shai-hulud-2.0-npm-worm/; https://www.netskope.com/blog/shai-hulud-2-0-aggressive-automated-one-of-fastest-spreading-npm-supply-chain-attacks-ever-observed; https://www.wiz.io/blog/shai-hulud-2-0-ongoing-supply-chain-attack; https://www.microsoft.com/en-us/security/blog/2025/12/09/shai-hulud-2-0-guidance-for-detecting-investigating-and-defending-against-the-supply-chain-attack/; https://www.elastic.co/blog/shai-hulud-worm-2-0-updated-response; https://jfrog.com/blog/shai-hulud-npm-supply-chain-attack-new-compromised-packages-detected/; https://www.reversinglabs.com/blog/shai-hulud-worm-npm,
Claude Code CVE-2025-59536 (RCE via Project Files),Anthropic,2026-02-01,source_code,rce_via_hooks,Remote Code Execution through hooks in project files,patched,critical,https://research.checkpoint.com/2026/rce-and-api-token-exfiltration-through-claude-code-project-files-cve-2025-59536/; https://thehackernews.com/2026/02/claude-code-flaws-allow-remote-code.html; https://www.darkreading.com/application-security/flaws-claude-code-developer-machines-risk; https://www.securityweek.com/claude-code-flaws-exposed-developer-devices-to-silent-hacking/; https://www.theregister.com/2026/02/26/clade_code_cves/,CVE-2025-59536
Claude Code CVE-2026-21852 (API Key Exfiltration),Anthropic,2026-02-01,api_keys,anthropic_base_url_substitution,API key exfiltration via ANTHROPIC_BASE_URL substitution,patched,high,https://hackernoon.com/claude-code-security-analysis-understanding-the-cve-2026-21852-api-key-exfiltration-vulnerability; https://www.penligent.ai/hackinglabs/claude-code-project-files-became-an-rce-and-api-key-exfiltration-path-what-the-check-point-findings-change-for-ai-coding-assistants/; https://cybernews.com/security/claude-code-critical-vulnerability-enabled-rce/; https://www.technadu.com/claude-code-critical-flaws-allowed-rce-and-api-token-theft-ai-development-security-risks-exposed/621031/,CVE-2026-21852
GitHub Copilot RoguePilot + CamoLeak,GitHub/Microsoft,2026-01-28,source_code,plugin_vulnerability_model_memorization,"RCE in IDE context, code leakage from private repos, ad injection",patched,high,,
DeepSeek System Prompt Jailbreak,DeepSeek,2026-02-20,system_prompt,recursive_summarization_jailbreak,"Full system prompt for DeepSeek-V3 and R1, safety guidelines, proprietary prompt engineering",live,medium,,
TeamPCP Cascading Supply Chain Attack,"Multiple (Aqua Security, Checkmarx, LiteLLM, Telnyx)",2026-03-08,supply_chain,multi_stage_zero_day_cascade,"Trivy vulnerability scanner zero-day, CI/CD worm, LiteLLM proxy compromise, VoIP API abuse",patched,critical,https://www.sysdig.com/blog/teampcp-expands-supply-chain-compromise-spreads-from-trivy-to-checkmarx-github-actions; https://www.reversinglabs.com/blog/teampcp-supply-chain-attack-spreads; https://www.sans.org/blog/when-security-scanner-became-weapon-inside-teampcp-supply-chain-campaign; https://www.microsoft.com/en-us/security/blog/2026/03/24/detecting-investigating-defending-against-trivy-supply-chain-compromise/; https://www.paloaltonetworks.com/blog/cloud-security/trivy-supply-chain-attack/; https://arcticwolf.com/resources/blog/teampcp-supply-chain-attack-campaign-targets-trivy-checkmarx-kics-and-litellm-potential-downstream-impact-to-additional-projects/; https://www.trendmicro.com/en/research/26/c/inside-litellm-supply-chain-compromise.html; https://www.infosecurity-magazine.com/news/teampcp-litellm-pypi-supply-chain/; https://www.helpnetsecurity.com/2026/03/30/teampcp-supply-chain-attacks-ransomware/; https://labs.cloudsecurityalliance.org/research/csa-research-note-ai-pypi-supply-chain-campaign-20260329-csa/; https://thenewstack.io/teampcp-trivy-supply-chain-attack/; https://cybermagazine.com/news/inside-teampcps-sophisticated-supply-chain-attack-on-trivy,
